wallet,segment,CyberKongz Genesis,CyberKongz Babies,CyberKongz VX (Any),CyberKongz Genkai (Any)
0x01c669434dd6c2b9b24c60821a8441b7cd65b732,genesis,1,0,0,0
0x0683761ed50c8aec695e56097f45aee620364142,genesis,8,0,0,0
0x0d932eb22c1e68b2209b01181e5bfd7a7faa3088,genesis,1,0,0,0
0x10745bf2bbb9f034e3a53e71d7e9e9a2e103149b,genesis,2,0,0,0
0x13a9443c11a863b8f10270c39e721e8209d28446,genesis,1,0,0,0
0x15c6e23110513ab0843fdf06288736cedc9ae222,genesis,1,0,0,0
0x1602c6f0228761fd380b4e4cb6d7aa04c5683762,genesis,1,0,0,0
0x18fdc246cdbab486230b087469d2a9e066bb1463,genesis,2,0,0,0
0x1997169fc82abdc3f54e14e1e2cd75cba24db73c,genesis,5,0,0,0
0x1b30c84e244361a99be770acd57ace184983c83d,genesis,2,0,0,0
0x1dab3ce0c753c6176d19471e3026a32f629cac79,genesis,1,0,0,0
0x1f339eab9f69d81489d209958d636f609559b582,genesis,1,0,0,0
0x239dfe167b12b156069241fb3a0e9e395fe5bc92,genesis,1,0,0,0
0x24440f9bc8aa1c69da3a5855d33741800578001a,genesis,1,0,0,0
0x24b49a3df5bce61e438aad240685ddc3db6f85c7,genesis,1,0,0,0
0x2649c4628da55e874c85fa0bcb189777cd41b8ad,genesis,2,0,0,0
0x2ad5ab8d094998b38e5461f65712144986cb1e20,genesis,1,0,0,0
0x2ae3e46290ade43593eabd15642ebd67157f5351,genesis,8,0,0,0
0x2ca4d3dd2e9ec27136c7a9f4ee08f809f38a4721,genesis,1,0,0,0
0x319b0bc1293c85b33eb7eaf8ee77f842498093db,genesis,2,0,0,0
0x35525436df51120d78d9f51e5db58c897d1d6f93,genesis,1,0,0,0
0x379200c8a705b41f091fd5a348501fbb785ac99a,genesis,2,0,0,0
0x39cc9c86e67baf2129b80fe3414c397492ea8026,genesis,1,0,0,0
0x3afb4d4d7f6c404e8655a9a83972d24efdb9d897,genesis,1,0,0,0
0x3ce02dc00a79b75e51c502b82759304cf4091251,genesis,2,0,0,0
0x3ec3c013a943c4e5eb3973a7e28be036b428a7a8,genesis,2,0,0,0
0x407ad819ab2bbe9d7ab39a1999fd82b0a55826c7,genesis,1,0,0,0
0x44bc1e029914f8a0cbc4752da5f372cb4fc7495d,genesis,1,0,0,0
0x453d6db8455ed187360d2cc62031341ff93b8298,genesis,2,0,0,0
0x467a796f44a3ffa5071812cfab1c4eb80c0df68f,genesis,1,0,0,0
0x4917ad2caf5c30462bcfba6c2baa91cc46cd1f10,genesis,1,0,0,0
0x4f37b8d86b5aad2f560fa6cc6ac25eeec3c61969,genesis,2,0,0,0
0x54b174179ae825ed630da40b625bb3c883cd40ae,genesis,1,0,0,0
0x5513beed7a5b6888969a5b2e6d8c9ae023c3a89f,genesis,2,0,0,0
0x5605a022ae51691260b83592243545f7dbcc0b74,genesis,1,0,0,0
0x56b35e17e57699f8f05449c0743f2e70e50f5699,genesis,2,0,0,0
0x5a235c0b4cb8d0e80a5c3bf4d2fad5c32e440884,genesis,1,0,0,0
0x5b4f6c8ce5381728ffd4abfcc24eb6dcae08fa96,genesis,1,0,0,0
0x5f97fab791dd002444463f93eaf2b2993fd6b400,genesis,4,0,0,0
0x66362b929c1a9aaf14c51aab9b455ad7fb8268c4,genesis,1,0,0,0
0x680e8a5a1dc9499342a7bc0bfb3b99dff60ec1f9,genesis,1,0,0,0
0x69b47e91e2eea2525770ed93f6115b9d8f4fa132,genesis,1,0,0,0
0x6f3fae0ea47c74d83c059dfb5a24b436278b223e,genesis,1,0,0,0
0x7b4f0c7a4ad697cc3420fd2adabc1f351b6b0c90,genesis,8,0,0,0
0x7b52b0e0be6034e1467012d1b3ed7724fc4ba5f4,genesis,1,0,0,0
0x7cbef4bc233c3d2d57b6048a6d076ce0ecb3d656,genesis,2,0,0,0
0x7f19c7da5fa56ee87c71e62072b361fe8460c3d1,genesis,1,0,0,0
0x80b10dfb24b720d21e99cead95a341c4102ad397,genesis,1,0,0,0
0x81d6a4c8f8d64c482e34431f285057065bcd1446,genesis,1,0,0,0
0x830f98708905694d3f7c0240da87843226df552f,genesis,1,0,0,0
0x8403db2735e09f82c6cedd29f64fe078548a5ed4,genesis,2,0,0,0
0x87fb2d121bbb01120dba374b1dccd7ed22d81479,genesis,1,0,0,0
0x88439c313da027c2d53ea000c63b81b168022663,genesis,1,0,0,0
