wallet,collection,level_2,days_held
0x000000000000000000000000000000000000dead,CyberKongz Genkai,tokens,1.0
0x000000000000000000000000000000000000dead,CyberKongz Genkai,min_days,269.913
0x000000000000000000000000000000000000dead,CyberKongz Genkai,p50_days,269.913
0x000000000000000000000000000000000000dead,CyberKongz Genkai,avg_days,269.913
0x000000000000000000000000000000000000dead,CyberKongz Genkai,max_days,269.913
0x000000000ef10efa945b1255617ab43e0c32a24d,CyberKongz Babies,tokens,61.0
0x000000000ef10efa945b1255617ab43e0c32a24d,CyberKongz Babies,min_days,0.836
0x000000000ef10efa945b1255617ab43e0c32a24d,CyberKongz Babies,p50_days,347.376
0x000000000ef10efa945b1255617ab43e0c32a24d,CyberKongz Babies,avg_days,277.8155409836065
0x000000000ef10efa945b1255617ab43e0c32a24d,CyberKongz Babies,max_days,347.376
0x00084121aec4309cb20db622a28c717720e888e0,CyberKongz Babies,tokens,5.0
0x00084121aec4309cb20db622a28c717720e888e0,CyberKongz Babies,min_days,1352.851
0x00084121aec4309cb20db622a28c717720e888e0,CyberKongz Babies,p50_days,1473.24
0x00084121aec4309cb20db622a28c717720e888e0,CyberKongz Babies,avg_days,1459.1596000000002
0x00084121aec4309cb20db622a28c717720e888e0,CyberKongz Babies,max_days,1535.307
0x00084121aec4309cb20db622a28c717720e888e0,CyberKongz Genesis,tokens,2.0
0x00084121aec4309cb20db622a28c717720e888e0,CyberKongz Genesis,min_days,1623.028
0x00084121aec4309cb20db622a28c717720e888e0,CyberKongz Genesis,p50_days,1623.0285
0x00084121aec4309cb20db622a28c717720e888e0,CyberKongz Genesis,avg_days,1623.0285
0x00084121aec4309cb20db622a28c717720e888e0,CyberKongz Genesis,max_days,1623.029
0x00084121aec4309cb20db622a28c717720e888e0,CyberKongz Genkai,tokens,9.0
0x00084121aec4309cb20db622a28c717720e888e0,CyberKongz Genkai,min_days,790.828
0x00084121aec4309cb20db622a28c717720e888e0,CyberKongz Genkai,p50_days,790.828
0x00084121aec4309cb20db622a28c717720e888e0,CyberKongz Genkai,avg_days,790.828
0x00084121aec4309cb20db622a28c717720e888e0,CyberKongz Genkai,max_days,790.828
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,CyberKongz Babies,tokens,4.0
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,CyberKongz Babies,min_days,41.989
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,CyberKongz Babies,p50_days,54.8985
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,CyberKongz Babies,avg_days,64.93675
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,CyberKongz Babies,max_days,107.961
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,CyberKongz Genesis,tokens,4.0
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,CyberKongz Genesis,min_days,39.531
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,CyberKongz Genesis,p50_days,46.862
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,CyberKongz Genesis,avg_days,179.31299999999996
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,CyberKongz Genesis,max_days,583.997
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,CyberKongz Genkai,tokens,5.0
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,CyberKongz Genkai,min_days,37.479
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,CyberKongz Genkai,p50_days,56.445
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,CyberKongz Genkai,avg_days,49.6576
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,CyberKongz Genkai,max_days,56.445
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,CyberKongz VX,tokens,4.0
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,CyberKongz VX,min_days,43.705
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,CyberKongz VX,p50_days,43.705
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,CyberKongz VX,avg_days,46.67725
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,CyberKongz VX,max_days,55.594
0x001c227373cd477f2ccdc1b280f5f91f163634fe,CyberKongz Babies,tokens,1.0
0x001c227373cd477f2ccdc1b280f5f91f163634fe,CyberKongz Babies,min_days,255.995
0x001c227373cd477f2ccdc1b280f5f91f163634fe,CyberKongz Babies,p50_days,255.995
0x001c227373cd477f2ccdc1b280f5f91f163634fe,CyberKongz Babies,avg_days,255.995
0x001c227373cd477f2ccdc1b280f5f91f163634fe,CyberKongz Babies,max_days,255.995
0x001e6eb442106bef335d6adfa53aa2b1a9a6f64e,CyberKongz Genkai,tokens,1.0
0x001e6eb442106bef335d6adfa53aa2b1a9a6f64e,CyberKongz Genkai,min_days,790.842
0x001e6eb442106bef335d6adfa53aa2b1a9a6f64e,CyberKongz Genkai,p50_days,790.842
0x001e6eb442106bef335d6adfa53aa2b1a9a6f64e,CyberKongz Genkai,avg_days,790.842
0x001e6eb442106bef335d6adfa53aa2b1a9a6f64e,CyberKongz Genkai,max_days,790.842
0x00204f9f3648dbffebee53c9afd84176f614a524,CyberKongz Genkai,tokens,1.0
0x00204f9f3648dbffebee53c9afd84176f614a524,CyberKongz Genkai,min_days,124.217
0x00204f9f3648dbffebee53c9afd84176f614a524,CyberKongz Genkai,p50_days,124.217
0x00204f9f3648dbffebee53c9afd84176f614a524,CyberKongz Genkai,avg_days,124.217
0x00204f9f3648dbffebee53c9afd84176f614a524,CyberKongz Genkai,max_days,124.217
0x0038e7da1b55e8841a686193a84f3b4150f5bc0f,CyberKongz Genkai,tokens,1.0
0x0038e7da1b55e8841a686193a84f3b4150f5bc0f,CyberKongz Genkai,min_days,36.237
0x0038e7da1b55e8841a686193a84f3b4150f5bc0f,CyberKongz Genkai,p50_days,36.237
0x0038e7da1b55e8841a686193a84f3b4150f5bc0f,CyberKongz Genkai,avg_days,36.237
0x0038e7da1b55e8841a686193a84f3b4150f5bc0f,CyberKongz Genkai,max_days,36.237
0x0044a9425bd6a7c438ae7732d241cf159f9cb4b9,CyberKongz Babies,tokens,1.0
0x0044a9425bd6a7c438ae7732d241cf159f9cb4b9,CyberKongz Babies,min_days,27.856
0x0044a9425bd6a7c438ae7732d241cf159f9cb4b9,CyberKongz Babies,p50_days,27.856
0x0044a9425bd6a7c438ae7732d241cf159f9cb4b9,CyberKongz Babies,avg_days,27.856
0x0044a9425bd6a7c438ae7732d241cf159f9cb4b9,CyberKongz Babies,max_days,27.856
0x004cad75155af30b36b33358047604b8a9227f6c,CyberKongz Babies,tokens,1.0
0x004cad75155af30b36b33358047604b8a9227f6c,CyberKongz Babies,min_days,283.573
0x004cad75155af30b36b33358047604b8a9227f6c,CyberKongz Babies,p50_days,283.573
0x004cad75155af30b36b33358047604b8a9227f6c,CyberKongz Babies,avg_days,283.573
0x004cad75155af30b36b33358047604b8a9227f6c,CyberKongz Babies,max_days,283.573
0x00539280c250c21dc99a22b4b3ffc109115ad88f,CyberKongz Babies,tokens,1.0
0x00539280c250c21dc99a22b4b3ffc109115ad88f,CyberKongz Babies,min_days,1054.86
0x00539280c250c21dc99a22b4b3ffc109115ad88f,CyberKongz Babies,p50_days,1054.86
0x00539280c250c21dc99a22b4b3ffc109115ad88f,CyberKongz Babies,avg_days,1054.86
0x00539280c250c21dc99a22b4b3ffc109115ad88f,CyberKongz Babies,max_days,1054.86
0x005d64b3fedd6d53edf19142087d51c7ac6ba595,CyberKongz VX,tokens,3.0
0x005d64b3fedd6d53edf19142087d51c7ac6ba595,CyberKongz VX,min_days,1501.92
0x005d64b3fedd6d53edf19142087d51c7ac6ba595,CyberKongz VX,p50_days,1501.921
0x005d64b3fedd6d53edf19142087d51c7ac6ba595,CyberKongz VX,avg_days,1501.9210000000003
0x005d64b3fedd6d53edf19142087d51c7ac6ba595,CyberKongz VX,max_days,1501.922
0x0066b808deeb475ddac56cfe3ef148d003b60bba,CyberKongz Babies,tokens,1.0
0x0066b808deeb475ddac56cfe3ef148d003b60bba,CyberKongz Babies,min_days,258.008
0x0066b808deeb475ddac56cfe3ef148d003b60bba,CyberKongz Babies,p50_days,258.008
0x0066b808deeb475ddac56cfe3ef148d003b60bba,CyberKongz Babies,avg_days,258.008
0x0066b808deeb475ddac56cfe3ef148d003b60bba,CyberKongz Babies,max_days,258.008
0x0068e91105b0d2c52de69c6efb6329b66b1cdac5,CyberKongz Babies,tokens,1.0
0x0068e91105b0d2c52de69c6efb6329b66b1cdac5,CyberKongz Babies,min_days,1550.633
0x0068e91105b0d2c52de69c6efb6329b66b1cdac5,CyberKongz Babies,p50_days,1550.633
0x0068e91105b0d2c52de69c6efb6329b66b1cdac5,CyberKongz Babies,avg_days,1550.633
0x0068e91105b0d2c52de69c6efb6329b66b1cdac5,CyberKongz Babies,max_days,1550.633
0x0068e91105b0d2c52de69c6efb6329b66b1cdac5,CyberKongz Genkai,tokens,1.0
0x0068e91105b0d2c52de69c6efb6329b66b1cdac5,CyberKongz Genkai,min_days,790.807
0x0068e91105b0d2c52de69c6efb6329b66b1cdac5,CyberKongz Genkai,p50_days,790.807
0x0068e91105b0d2c52de69c6efb6329b66b1cdac5,CyberKongz Genkai,avg_days,790.807
0x0068e91105b0d2c52de69c6efb6329b66b1cdac5,CyberKongz Genkai,max_days,790.807
0x007b6c73df39541d36baa3e8d43250c075a27470,CyberKongz Genkai,tokens,5.0
0x007b6c73df39541d36baa3e8d43250c075a27470,CyberKongz Genkai,min_days,165.579
0x007b6c73df39541d36baa3e8d43250c075a27470,CyberKongz Genkai,p50_days,177.998
0x007b6c73df39541d36baa3e8d43250c075a27470,CyberKongz Genkai,avg_days,173.2696
0x007b6c73df39541d36baa3e8d43250c075a27470,CyberKongz Genkai,max_days,178.622
0x007dfe9ed83f6f903ed76fa2988867631374c12d,CyberKongz Babies,tokens,1.0
0x007dfe9ed83f6f903ed76fa2988867631374c12d,CyberKongz Babies,min_days,1086.558
0x007dfe9ed83f6f903ed76fa2988867631374c12d,CyberKongz Babies,p50_days,1086.558
0x007dfe9ed83f6f903ed76fa2988867631374c12d,CyberKongz Babies,avg_days,1086.558
0x007dfe9ed83f6f903ed76fa2988867631374c12d,CyberKongz Babies,max_days,1086.558
0x007f73f4feb190e7e61397c96d2859c836b2305e,CyberKongz Babies,tokens,1.0
0x007f73f4feb190e7e61397c96d2859c836b2305e,CyberKongz Babies,min_days,545.541
0x007f73f4feb190e7e61397c96d2859c836b2305e,CyberKongz Babies,p50_days,545.541
0x007f73f4feb190e7e61397c96d2859c836b2305e,CyberKongz Babies,avg_days,545.541
0x007f73f4feb190e7e61397c96d2859c836b2305e,CyberKongz Babies,max_days,545.541
0x008ddb41391151e95092007f8be8c1b038a20148,CyberKongz Genkai,tokens,1.0
0x008ddb41391151e95092007f8be8c1b038a20148,CyberKongz Genkai,min_days,790.841
0x008ddb41391151e95092007f8be8c1b038a20148,CyberKongz Genkai,p50_days,790.841
0x008ddb41391151e95092007f8be8c1b038a20148,CyberKongz Genkai,avg_days,790.841
0x008ddb41391151e95092007f8be8c1b038a20148,CyberKongz Genkai,max_days,790.841
0x00a32be28c62430dc1106abc3f4d2fa9b274e52d,CyberKongz VX,tokens,1.0
0x00a32be28c62430dc1106abc3f4d2fa9b274e52d,CyberKongz VX,min_days,640.527
0x00a32be28c62430dc1106abc3f4d2fa9b274e52d,CyberKongz VX,p50_days,640.527
0x00a32be28c62430dc1106abc3f4d2fa9b274e52d,CyberKongz VX,avg_days,640.527
0x00a32be28c62430dc1106abc3f4d2fa9b274e52d,CyberKongz VX,max_days,640.527
0x00a3d4243825291533211e89922068e395e4dc2c,CyberKongz Genkai,tokens,1.0
0x00a3d4243825291533211e89922068e395e4dc2c,CyberKongz Genkai,min_days,526.581
0x00a3d4243825291533211e89922068e395e4dc2c,CyberKongz Genkai,p50_days,526.581
0x00a3d4243825291533211e89922068e395e4dc2c,CyberKongz Genkai,avg_days,526.581
0x00a3d4243825291533211e89922068e395e4dc2c,CyberKongz Genkai,max_days,526.581
0x00aa01d075218250b4cb59e24c553966b67ec5de,CyberKongz VX,tokens,1.0
0x00aa01d075218250b4cb59e24c553966b67ec5de,CyberKongz VX,min_days,534.476
0x00aa01d075218250b4cb59e24c553966b67ec5de,CyberKongz VX,p50_days,534.476
0x00aa01d075218250b4cb59e24c553966b67ec5de,CyberKongz VX,avg_days,534.476
0x00aa01d075218250b4cb59e24c553966b67ec5de,CyberKongz VX,max_days,534.476
0x00aad569d6c490b8e9182ab40912309457e7d1b6,CyberKongz VX,tokens,1.0
0x00aad569d6c490b8e9182ab40912309457e7d1b6,CyberKongz VX,min_days,1287.864
0x00aad569d6c490b8e9182ab40912309457e7d1b6,CyberKongz VX,p50_days,1287.864
0x00aad569d6c490b8e9182ab40912309457e7d1b6,CyberKongz VX,avg_days,1287.864
0x00aad569d6c490b8e9182ab40912309457e7d1b6,CyberKongz VX,max_days,1287.864
0x00bc5b61042fa8375dba651a2309bc5595302ec1,CyberKongz Babies,tokens,9.0
0x00bc5b61042fa8375dba651a2309bc5595302ec1,CyberKongz Babies,min_days,283.799
0x00bc5b61042fa8375dba651a2309bc5595302ec1,CyberKongz Babies,p50_days,283.799
0x00bc5b61042fa8375dba651a2309bc5595302ec1,CyberKongz Babies,avg_days,360.45911111111104
0x00bc5b61042fa8375dba651a2309bc5595302ec1,CyberKongz Babies,max_days,973.74
0x00bc5b61042fa8375dba651a2309bc5595302ec1,CyberKongz Genkai,tokens,1.0
0x00bc5b61042fa8375dba651a2309bc5595302ec1,CyberKongz Genkai,min_days,790.808
0x00bc5b61042fa8375dba651a2309bc5595302ec1,CyberKongz Genkai,p50_days,790.808
0x00bc5b61042fa8375dba651a2309bc5595302ec1,CyberKongz Genkai,avg_days,790.808
0x00bc5b61042fa8375dba651a2309bc5595302ec1,CyberKongz Genkai,max_days,790.808
0x00bc5b61042fa8375dba651a2309bc5595302ec1,CyberKongz VX,tokens,1.0
0x00bc5b61042fa8375dba651a2309bc5595302ec1,CyberKongz VX,min_days,968.614
0x00bc5b61042fa8375dba651a2309bc5595302ec1,CyberKongz VX,p50_days,968.614
0x00bc5b61042fa8375dba651a2309bc5595302ec1,CyberKongz VX,avg_days,968.614
0x00bc5b61042fa8375dba651a2309bc5595302ec1,CyberKongz VX,max_days,968.614
0x00c1bc48f08e89155d6cf9385df1e9d29eb860b0,CyberKongz Genkai,tokens,8.0
0x00c1bc48f08e89155d6cf9385df1e9d29eb860b0,CyberKongz Genkai,min_days,790.863
0x00c1bc48f08e89155d6cf9385df1e9d29eb860b0,CyberKongz Genkai,p50_days,790.8755000000001
0x00c1bc48f08e89155d6cf9385df1e9d29eb860b0,CyberKongz Genkai,avg_days,790.8755000000001
0x00c1bc48f08e89155d6cf9385df1e9d29eb860b0,CyberKongz Genkai,max_days,790.888
0x00e7678a7bafe12b7e4b0963a68aede12faaa7df,CyberKongz Babies,tokens,1.0
0x00e7678a7bafe12b7e4b0963a68aede12faaa7df,CyberKongz Babies,min_days,1203.724
0x00e7678a7bafe12b7e4b0963a68aede12faaa7df,CyberKongz Babies,p50_days,1203.724
0x00e7678a7bafe12b7e4b0963a68aede12faaa7df,CyberKongz Babies,avg_days,1203.724
0x00e7678a7bafe12b7e4b0963a68aede12faaa7df,CyberKongz Babies,max_days,1203.724
0x00fe9aa1f7fd97b981aa8e65a289803a8ccd8f5c,CyberKongz Babies,tokens,1.0
0x00fe9aa1f7fd97b981aa8e65a289803a8ccd8f5c,CyberKongz Babies,min_days,1232.909
0x00fe9aa1f7fd97b981aa8e65a289803a8ccd8f5c,CyberKongz Babies,p50_days,1232.909
0x00fe9aa1f7fd97b981aa8e65a289803a8ccd8f5c,CyberKongz Babies,avg_days,1232.909
0x00fe9aa1f7fd97b981aa8e65a289803a8ccd8f5c,CyberKongz Babies,max_days,1232.909
0x00fe9aa1f7fd97b981aa8e65a289803a8ccd8f5c,CyberKongz Genkai,tokens,1.0
0x00fe9aa1f7fd97b981aa8e65a289803a8ccd8f5c,CyberKongz Genkai,min_days,790.809
0x00fe9aa1f7fd97b981aa8e65a289803a8ccd8f5c,CyberKongz Genkai,p50_days,790.809
0x00fe9aa1f7fd97b981aa8e65a289803a8ccd8f5c,CyberKongz Genkai,avg_days,790.809
0x00fe9aa1f7fd97b981aa8e65a289803a8ccd8f5c,CyberKongz Genkai,max_days,790.809
0x0101888a1d8e6a7a0119f6bf4c5518c9aa532c79,CyberKongz VX,tokens,1.0
0x0101888a1d8e6a7a0119f6bf4c5518c9aa532c79,CyberKongz VX,min_days,171.74
0x0101888a1d8e6a7a0119f6bf4c5518c9aa532c79,CyberKongz VX,p50_days,171.74
0x0101888a1d8e6a7a0119f6bf4c5518c9aa532c79,CyberKongz VX,avg_days,171.74
0x0101888a1d8e6a7a0119f6bf4c5518c9aa532c79,CyberKongz VX,max_days,171.74
0x0101c09b0e744331a00fc8de81a460f8735baa7d,CyberKongz Babies,tokens,3.0
0x0101c09b0e744331a00fc8de81a460f8735baa7d,CyberKongz Babies,min_days,1096.397
0x0101c09b0e744331a00fc8de81a460f8735baa7d,CyberKongz Babies,p50_days,1167.372
0x0101c09b0e744331a00fc8de81a460f8735baa7d,CyberKongz Babies,avg_days,1143.7150000000001
0x0101c09b0e744331a00fc8de81a460f8735baa7d,CyberKongz Babies,max_days,1167.376
0x01280480bf9fd7c5991c7d5b7ef829ce7878a315,CyberKongz Babies,tokens,2.0
0x01280480bf9fd7c5991c7d5b7ef829ce7878a315,CyberKongz Babies,min_days,284.641
0x01280480bf9fd7c5991c7d5b7ef829ce7878a315,CyberKongz Babies,p50_days,390.408
0x01280480bf9fd7c5991c7d5b7ef829ce7878a315,CyberKongz Babies,avg_days,390.408
0x01280480bf9fd7c5991c7d5b7ef829ce7878a315,CyberKongz Babies,max_days,496.175
0x012e168acb9fdc90a4ed9fd6ca2834d9bf5b579e,CyberKongz VX,tokens,1.0
0x012e168acb9fdc90a4ed9fd6ca2834d9bf5b579e,CyberKongz VX,min_days,1502.676
0x012e168acb9fdc90a4ed9fd6ca2834d9bf5b579e,CyberKongz VX,p50_days,1502.676
0x012e168acb9fdc90a4ed9fd6ca2834d9bf5b579e,CyberKongz VX,avg_days,1502.676
0x012e168acb9fdc90a4ed9fd6ca2834d9bf5b579e,CyberKongz VX,max_days,1502.676
0x0151f68f590c348f117b21fb9c0b49443ae225f7,CyberKongz VX,tokens,1.0
0x0151f68f590c348f117b21fb9c0b49443ae225f7,CyberKongz VX,min_days,1458.48
0x0151f68f590c348f117b21fb9c0b49443ae225f7,CyberKongz VX,p50_days,1458.48
0x0151f68f590c348f117b21fb9c0b49443ae225f7,CyberKongz VX,avg_days,1458.48
0x0151f68f590c348f117b21fb9c0b49443ae225f7,CyberKongz VX,max_days,1458.48
0x015ceff5aab795acad057fb607eafdcd024ab603,CyberKongz Babies,tokens,1.0
0x015ceff5aab795acad057fb607eafdcd024ab603,CyberKongz Babies,min_days,1459.606
0x015ceff5aab795acad057fb607eafdcd024ab603,CyberKongz Babies,p50_days,1459.606
0x015ceff5aab795acad057fb607eafdcd024ab603,CyberKongz Babies,avg_days,1459.606
0x015ceff5aab795acad057fb607eafdcd024ab603,CyberKongz Babies,max_days,1459.606
0x015ceff5aab795acad057fb607eafdcd024ab603,CyberKongz Genkai,tokens,1.0
0x015ceff5aab795acad057fb607eafdcd024ab603,CyberKongz Genkai,min_days,790.808
0x015ceff5aab795acad057fb607eafdcd024ab603,CyberKongz Genkai,p50_days,790.808
0x015ceff5aab795acad057fb607eafdcd024ab603,CyberKongz Genkai,avg_days,790.808
0x015ceff5aab795acad057fb607eafdcd024ab603,CyberKongz Genkai,max_days,790.808
0x015ceff5aab795acad057fb607eafdcd024ab603,CyberKongz VX,tokens,1.0
0x015ceff5aab795acad057fb607eafdcd024ab603,CyberKongz VX,min_days,1459.606
0x015ceff5aab795acad057fb607eafdcd024ab603,CyberKongz VX,p50_days,1459.606
0x015ceff5aab795acad057fb607eafdcd024ab603,CyberKongz VX,avg_days,1459.606
0x015ceff5aab795acad057fb607eafdcd024ab603,CyberKongz VX,max_days,1459.606
0x0173e37659c49fd72e7d69867e525d0d1385dc3b,CyberKongz Genkai,tokens,2.0
0x0173e37659c49fd72e7d69867e525d0d1385dc3b,CyberKongz Genkai,min_days,790.857
0x0173e37659c49fd72e7d69867e525d0d1385dc3b,CyberKongz Genkai,p50_days,790.875
0x0173e37659c49fd72e7d69867e525d0d1385dc3b,CyberKongz Genkai,avg_days,790.875
0x0173e37659c49fd72e7d69867e525d0d1385dc3b,CyberKongz Genkai,max_days,790.893
0x0178eb2af9e28e426d49e48c301aada401362e84,CyberKongz Genkai,tokens,2.0
0x0178eb2af9e28e426d49e48c301aada401362e84,CyberKongz Genkai,min_days,790.807
0x0178eb2af9e28e426d49e48c301aada401362e84,CyberKongz Genkai,p50_days,790.807
0x0178eb2af9e28e426d49e48c301aada401362e84,CyberKongz Genkai,avg_days,790.807
0x0178eb2af9e28e426d49e48c301aada401362e84,CyberKongz Genkai,max_days,790.807
0x017af4481e13023209f6c15f6cfdefff3c695534,CyberKongz VX,tokens,1.0
0x017af4481e13023209f6c15f6cfdefff3c695534,CyberKongz VX,min_days,1502.217
0x017af4481e13023209f6c15f6cfdefff3c695534,CyberKongz VX,p50_days,1502.217
0x017af4481e13023209f6c15f6cfdefff3c695534,CyberKongz VX,avg_days,1502.217
0x017af4481e13023209f6c15f6cfdefff3c695534,CyberKongz VX,max_days,1502.217
0x017f85ed3165d5d90514173c8f51de000c242974,CyberKongz VX,tokens,1.0
0x017f85ed3165d5d90514173c8f51de000c242974,CyberKongz VX,min_days,1498.443
0x017f85ed3165d5d90514173c8f51de000c242974,CyberKongz VX,p50_days,1498.443
0x017f85ed3165d5d90514173c8f51de000c242974,CyberKongz VX,avg_days,1498.443
0x017f85ed3165d5d90514173c8f51de000c242974,CyberKongz VX,max_days,1498.443
0x01868c6889fcfd8501a38ecb1a50b2e302b6ed29,CyberKongz Babies,tokens,1.0
0x01868c6889fcfd8501a38ecb1a50b2e302b6ed29,CyberKongz Babies,min_days,56.869
0x01868c6889fcfd8501a38ecb1a50b2e302b6ed29,CyberKongz Babies,p50_days,56.869
0x01868c6889fcfd8501a38ecb1a50b2e302b6ed29,CyberKongz Babies,avg_days,56.869
0x01868c6889fcfd8501a38ecb1a50b2e302b6ed29,CyberKongz Babies,max_days,56.869
0x018edc98b3190dbb261e6ff3858c4ba59c71ba94,CyberKongz VX,tokens,2.0
0x018edc98b3190dbb261e6ff3858c4ba59c71ba94,CyberKongz VX,min_days,1502.864
0x018edc98b3190dbb261e6ff3858c4ba59c71ba94,CyberKongz VX,p50_days,1502.864
0x018edc98b3190dbb261e6ff3858c4ba59c71ba94,CyberKongz VX,avg_days,1502.864
0x018edc98b3190dbb261e6ff3858c4ba59c71ba94,CyberKongz VX,max_days,1502.864
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Babies,tokens,2.0
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Babies,min_days,1304.011
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Babies,p50_days,1381.0459999999998
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Babies,avg_days,1381.0459999999998
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Babies,max_days,1458.081
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Genesis,tokens,1.0
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Genesis,min_days,13.968
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Genesis,p50_days,13.968
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Genesis,avg_days,13.968
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Genesis,max_days,13.968
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Genkai,tokens,4.0
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Genkai,min_days,790.823
0x019e85a0006796e872cdc1c8f88fa956fdf24e14,CyberKongz Genkai,p50_days,790.823
