combo_mask,combo_label,wallet_count
160,CyberKongz Genkai (Ronin)+CyberKongz Genkai (Any),2372
68,CyberKongz VX+CyberKongz VX (Any),1987
136,CyberKongz Genkai+CyberKongz Genkai (Any),939
138,CyberKongz Babies+CyberKongz Genkai+CyberKongz Genkai (Any),696
2,CyberKongz Babies,565
240,CyberKongz VX (Ronin)+CyberKongz Genkai (Ronin)+CyberKongz VX (Any)+CyberKongz Genkai (Any),468
80,CyberKongz VX (Ronin)+CyberKongz VX (Any),259
206,CyberKongz Babies+CyberKongz VX+CyberKongz Genkai+CyberKongz VX (Any)+CyberKongz Genkai (Any),215
1,CyberKongz Genesis,97
3,CyberKongz Genesis+CyberKongz Babies,96
137,CyberKongz Genesis+CyberKongz Genkai+CyberKongz Genkai (Any),81
204,CyberKongz VX+CyberKongz Genkai+CyberKongz VX (Any)+CyberKongz Genkai (Any),74
139,CyberKongz Genesis+CyberKongz Babies+CyberKongz Genkai+CyberKongz Genkai (Any),61
70,CyberKongz Babies+CyberKongz VX+CyberKongz VX (Any),57
242,CyberKongz Babies+CyberKongz VX (Ronin)+CyberKongz Genkai (Ronin)+CyberKongz VX (Any)+CyberKongz Genkai (Any),50
207,CyberKongz Genesis+CyberKongz Babies+CyberKongz VX+CyberKongz Genkai+CyberKongz VX (Any)+CyberKongz Genkai (Any),46
162,CyberKongz Babies+CyberKongz Genkai (Ronin)+CyberKongz Genkai (Any),45
205,CyberKongz Genesis+CyberKongz VX+CyberKongz Genkai+CyberKongz VX (Any)+CyberKongz Genkai (Any),27
243,CyberKongz Genesis+CyberKongz Babies+CyberKongz VX (Ronin)+CyberKongz Genkai (Ronin)+CyberKongz VX (Any)+CyberKongz Genkai (Any),26
168,CyberKongz Genkai+CyberKongz Genkai (Ronin)+CyberKongz Genkai (Any),17
218,CyberKongz Babies+CyberKongz Genkai+CyberKongz VX (Ronin)+CyberKongz VX (Any)+CyberKongz Genkai (Any),14
163,CyberKongz Genesis+CyberKongz Babies+CyberKongz Genkai (Ronin)+CyberKongz Genkai (Any),13
216,CyberKongz Genkai+CyberKongz VX (Ronin)+CyberKongz VX (Any)+CyberKongz Genkai (Any),11
69,CyberKongz Genesis+CyberKongz VX+CyberKongz VX (Any),10
71,CyberKongz Genesis+CyberKongz Babies+CyberKongz VX+CyberKongz VX (Any),9
82,CyberKongz Babies+CyberKongz VX (Ronin)+CyberKongz VX (Any),9
228,CyberKongz VX+CyberKongz Genkai (Ronin)+CyberKongz VX (Any)+CyberKongz Genkai (Any),6
244,CyberKongz VX+CyberKongz VX (Ronin)+CyberKongz Genkai (Ronin)+CyberKongz VX (Any)+CyberKongz Genkai (Any),6
219,CyberKongz Genesis+CyberKongz Babies+CyberKongz Genkai+CyberKongz VX (Ronin)+CyberKongz VX (Any)+CyberKongz Genkai (Any),6
247,CyberKongz Genesis+CyberKongz Babies+CyberKongz VX+CyberKongz VX (Ronin)+CyberKongz Genkai (Ronin)+CyberKongz VX (Any)+CyberKongz Genkai (Any),5
241,CyberKongz Genesis+CyberKongz VX (Ronin)+CyberKongz Genkai (Ronin)+CyberKongz VX (Any)+CyberKongz Genkai (Any),5
