wallet,CyberKongz Genesis,CyberKongz Babies,CyberKongz VX,CyberKongz Genkai,CyberKongz VX (Ronin),CyberKongz Genkai (Ronin),CyberKongz VX (Any),CyberKongz Genkai (Any)
0x000000000000000000000000000000000000dead,0,0,0,1,0,0,0,1
0x000000000ef10efa945b1255617ab43e0c32a24d,0,61,0,0,0,0,0,0
0x00084121aec4309cb20db622a28c717720e888e0,2,5,0,9,0,0,0,9
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,4,4,4,5,211,191,215,196
0x0012f255d3e8ab9b433483023e3342d230f209da,0,0,0,0,1,0,1,0
0x001c227373cd477f2ccdc1b280f5f91f163634fe,0,1,0,0,4,3,4,3
0x001e6eb442106bef335d6adfa53aa2b1a9a6f64e,0,0,0,1,0,0,0,1
0x00204f9f3648dbffebee53c9afd84176f614a524,0,0,0,1,0,0,0,1
0x0038e7da1b55e8841a686193a84f3b4150f5bc0f,0,0,0,1,0,0,0,1
0x0044a9425bd6a7c438ae7732d241cf159f9cb4b9,0,1,0,0,0,0,0,0
0x004937b1a207a2fb8d6c88b33614fa5931a8a7f2,0,0,0,0,7,10,7,10
0x004cad75155af30b36b33358047604b8a9227f6c,0,1,0,0,0,0,0,0
0x00539280c250c21dc99a22b4b3ffc109115ad88f,0,1,0,0,0,0,0,0
0x005d64b3fedd6d53edf19142087d51c7ac6ba595,0,0,3,0,0,0,3,0
0x0066b808deeb475ddac56cfe3ef148d003b60bba,0,1,0,0,0,0,0,0
0x0068e91105b0d2c52de69c6efb6329b66b1cdac5,0,1,0,1,0,0,0,1
0x007b6c73df39541d36baa3e8d43250c075a27470,0,0,0,5,0,0,0,5
0x007b8d808a92e8c6ad9bbfcee739ae8f51c3ebbc,0,0,0,0,0,1,0,1
0x007dfe9ed83f6f903ed76fa2988867631374c12d,0,1,0,0,0,0,0,0
0x007f73f4feb190e7e61397c96d2859c836b2305e,0,1,0,0,0,0,0,0
